date_local,parameter_code,sample_duration_code,sample_duration,observation_count,observation_percent,arithmetic_mean,aqi,parameter_code44201,sample_duration_code44201,sample_duration44201,observation_count44201,observation_percent44201,arithmetic_mean44201,aqi44201,parameter_code88101,sample_duration_code88101,sample_duration88101,observation_count88101,observation_percent88101,arithmetic_mean88101,aqi88101,aqi_max
2013-01-28,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.854167,11.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.0013088333333333335,3.0,88101,7,24 HOUR,16.0,100.0,26.8,83.5,83.5
2013-01-29,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.9625,13.0,44201,W,8-HR RUN AVG BEGIN HOUR,112.0,85.83333333333333,0.0012968333333333332,3.5,,,,,,,,13.0
2013-01-30,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.65,10.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.010803833333333332,24.5,,,,,,,,24.5
2013-01-31,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.1875,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.02253933333333333,23.5,88101,7,24 HOUR,16.0,100.0,3.55,20.0,23.5
2013-02-01,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.195833,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.017672166666666666,20.0,,,,,,,,20.0
2013-02-02,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.2625,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.009504333333333333,14.5,,,,,,,,14.5
2013-02-03,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.345833,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.010232833333333333,15.0,88101,7,24 HOUR,16.0,100.0,21.05,73.0,73.0
2013-02-04,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.308333,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.01562,21.0,,,,,,,,21.0
2013-02-05,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.4,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.006416000000000001,10.5,,,,,,,,10.5
2013-02-06,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.479167,7.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.018889666666666666,24.0,88101,7,24 HOUR,16.0,100.0,19.5,70.5,70.5
2013-02-07,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.325,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,114.0,87.66666666666667,0.019894333333333333,25.5,,,,,,,,25.5
2013-02-08,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.3375,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.025343166666666667,26.0,,,,,,,,26.0
2013-02-09,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.345833,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.025871,28.5,88101,7,24 HOUR,16.0,100.0,5.55,30.5,30.5
2013-02-10,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.441667,9.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.008292333333333334,17.5,,,,,,,,17.5
2013-02-11,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.958333,15.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.0024688333333333333,10.0,,,,,,,,15.0
2013-02-12,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.504167,10.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.0119405,17.5,88101,7,24 HOUR,16.0,100.0,9.899999999999999,52.5,52.5
2013-02-13,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.579167,8.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.009581833333333333,16.5,,,,,,,,16.5
2013-02-14,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.5125,7.0,44201,W,8-HR RUN AVG BEGIN HOUR,112.0,85.83333333333333,0.007971500000000001,17.333333333333332,,,,,,,,17.333333333333332
2013-02-15,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.608333,8.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.010342166666666666,21.0,88101,7,24 HOUR,16.0,100.0,25.05,81.0,81.0
2013-02-16,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.4625,8.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.0249965,26.5,,,,,,,,26.5
2013-02-17,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.341667,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.029937000000000002,29.5,,,,,,,,29.5
2013-02-18,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.366667,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.017330833333333334,27.333333333333332,88101,7,24 HOUR,16.0,100.0,6.35,35.5,35.5
2013-02-19,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.633333,8.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.014183833333333333,20.0,,,,,,,,20.0
2013-02-20,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.4125,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.020343,22.0,,,,,,,,22.0
2013-02-21,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.4,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.022757333333333334,24.0,88101,7,24 HOUR,16.0,100.0,7.75,42.0,42.0
2013-02-22,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.475,7.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.015330833333333333,19.0,,,,,,,,19.0
2013-02-23,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.504167,7.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.021464,28.0,,,,,,,,28.0
2013-02-24,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.533333,7.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.024531166666666663,27.0,88101,7,24 HOUR,16.0,100.0,8.05,44.5,44.5
2013-02-25,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.55,7.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.01599683333333333,24.0,,,,,,,,24.0
2013-02-26,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.6125,8.0,44201,W,8-HR RUN AVG BEGIN HOUR,113.0,86.83333333333333,0.023570166666666666,34.0,,,,,,,,34.0
2013-02-27,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.483333,8.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.01663483333333333,32.5,88101,7,24 HOUR,16.0,100.0,6.2,34.5,34.5
2013-02-28,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.675,9.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.012805666666666667,17.5,,,,,,,,17.5
2013-03-01,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.583333,7.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.020447833333333335,24.0,,,,,,,,24.0
2013-03-02,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.5,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.02351083333333333,24.5,88101,7,24 HOUR,16.0,100.0,4.6,25.5,25.5
2013-03-03,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.520833,7.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.0268,28.5,,,,,,,,28.5
2013-03-04,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.483333,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.025137166666666665,25.0,,,,,,,,25.0
2013-03-05,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.4,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.019041666666666665,27.5,88101,7,24 HOUR,16.0,100.0,5.05,28.0,28.0
2013-03-06,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.320833,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.033466333333333334,35.5,,,,,,,,35.5
2013-03-07,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.320833,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.027373166666666667,31.0,,,,,,,,31.0
2013-03-08,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.4125,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,115.0,88.66666666666667,0.0293665,31.5,88101,7,24 HOUR,16.0,100.0,5.0,27.5,31.5
2013-03-09,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.4625,8.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.023705166666666666,36.0,,,,,,,,36.0
2013-03-10,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.6,9.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.024490833333333333,28.0,,,,,,,,28.0
2013-03-11,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.458333,7.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.024691166666666667,30.0,88101,7,24 HOUR,16.0,100.0,7.199999999999999,40.0,40.0
2013-03-12,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.429167,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.022620166666666667,27.5,,,,,,,,27.5
2013-03-13,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.433333,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,114.0,87.66666666666667,0.02440233333333333,29.0,,,,,,,,29.0
2013-03-14,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.4,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.032967166666666665,33.0,88101,7,24 HOUR,16.0,100.0,4.55,25.5,33.0
2013-03-15,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.470833,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.02405083333333333,26.333333333333332,,,,,,,,26.333333333333332
