county_code,date_local,parameter_code,latitude,longitude,sample_duration_code,pollutant_standard,units_of_measure,observation_count,validity_indicator,arithmetic_mean,first_max_value,first_max_hour,aqi,county,city,parameter_code44201,latitude44201,longitude44201,sample_duration_code44201,pollutant_standard44201,units_of_measure44201,observation_count44201,validity_indicator44201,arithmetic_mean44201,first_max_value44201,first_max_hour44201,aqi44201,county44201,city44201,parameter_code88101,latitude88101,longitude88101,sample_duration_code88101,pollutant_standard88101,units_of_measure88101,observation_count88101,validity_indicator88101,arithmetic_mean88101,first_max_value88101,first_max_hour88101,aqi88101,county88101,city88101,aqi_max
005,2013-01-16,42101,40.8679,-73.87809,Z,CO 8-hour 1971,Parts per million,24.0,Y,0.558333,0.7,17.0,8.0,Bronx,New York,44201,40.8679,-73.87809,W,Ozone 8-Hour 1997,Parts per million,130.0,Y,0.0017566666666666666,0.007333333333333333,2.5,6.666666666666667,Bronx,New York,88101,40.816,-73.902,7,PM25 24-hour 2006,Micrograms/cubic meter (LC),16.0,Y,13.0,13.0,0.0,58.5,Bronx,New York,58.5
005,2013-01-17,42101,40.8679,-73.87809,Z,CO 8-hour 1971,Parts per million,24.0,Y,0.529167,0.7,0.0,8.0,Bronx,New York,44201,40.8679,-73.87809,W,Ozone 8-Hour 1997,Parts per million,130.0,Y,0.012810166666666666,0.023000000000000003,23.0,21.5,Bronx,New York,,,,,,,,,,,,,,,21.5
005,2013-01-18,42101,40.8679,-73.87809,Z,CO 8-hour 1971,Parts per million,24.0,Y,0.341667,0.4,0.0,5.0,Bronx,New York,44201,40.8679,-73.87809,W,Ozone 8-Hour 1997,Parts per million,130.0,Y,0.019803333333333336,0.0255,8.5,23.5,Bronx,New York,,,,,,,,,,,,,,,23.5
005,2013-01-19,42101,40.8679,-73.87809,Z,CO 8-hour 1971,Parts per million,24.0,Y,0.383333,0.5,16.0,6.0,Bronx,New York,44201,40.8679,-73.87809,W,Ozone 8-Hour 1997,Parts per million,130.0,Y,0.0144475,0.017499999999999998,14.5,16.5,Bronx,New York,88101,40.816,-73.902,7,PM25 24-hour 2006,Micrograms/cubic meter (LC),16.0,Y,7.35,7.35,0.0,41.0,Bronx,New York,41.0
005,2013-01-20,42101,40.8679,-73.87809,Z,CO 8-hour 1971,Parts per million,24.0,Y,0.3875,0.5,10.0,6.0,Bronx,New York,44201,40.8679,-73.87809,W,Ozone 8-Hour 1997,Parts per million,130.0,Y,0.022662500000000002,0.028999999999999998,10.5,27.0,Bronx,New York,,,,,,,,,,,,,,,27.0
005,2013-01-21,42101,40.8679,-73.87809,Z,CO 8-hour 1971,Parts per million,24.0,Y,0.408333,0.5,13.0,6.0,Bronx,New York,44201,40.8679,-73.87809,W,Ozone 8-Hour 1997,Parts per million,130.0,Y,0.010804,0.01983333333333333,7.666666666666667,18.5,Bronx,New York,,,,,,,,,,,,,,,18.5
005,2013-01-22,42101,40.8679,-73.87809,Z,CO 8-hour 1971,Parts per million,24.0,Y,0.358333,0.4,0.0,5.0,Bronx,New York,44201,40.8679,-73.87809,W,Ozone 8-Hour 1997,Parts per million,130.0,Y,0.021406833333333333,0.023999999999999997,9.5,22.0,Bronx,New York,88101,40.816,-73.902,7,PM25 24-hour 2006,Micrograms/cubic meter (LC),16.0,Y,7.449999999999999,7.449999999999999,0.0,41.5,Bronx,New York,41.5
005,2013-01-23,42101,40.8679,-73.87809,Z,CO 8-hour 1971,Parts per million,24.0,Y,0.3375,0.4,10.0,5.0,Bronx,New York,44201,40.8679,-73.87809,W,Ozone 8-Hour 1997,Parts per million,109.0,Y,0.014201,0.0205,5.666666666666667,19.0,Bronx,New York,,,,,,,,,,,,,,,19.0
005,2013-01-24,42101,40.8679,-73.87809,Z,CO 8-hour 1971,Parts per million,24.0,Y,0.4375,0.5,5.0,6.0,Bronx,New York,44201,40.8679,-73.87809,W,Ozone 8-Hour 1997,Parts per million,130.0,Y,0.018856666666666667,0.023500000000000004,13.5,21.5,Bronx,New York,,,,,,,,,,,,,,,21.5
005,2013-01-25,42101,40.8679,-73.87809,Z,CO 8-hour 1971,Parts per million,24.0,Y,0.55,0.8,20.0,9.0,Bronx,New York,44201,40.8679,-73.87809,W,Ozone 8-Hour 1997,Parts per million,130.0,Y,0.006154333333333334,0.015166666666666667,2.3333333333333335,14.166666666666666,Bronx,New York,88101,40.816,-73.902,7,PM25 24-hour 2006,Micrograms/cubic meter (LC),16.0,Y,12.45,12.45,0.0,57.0,Bronx,New York,57.0
005,2013-01-26,42101,40.8679,-73.87809,Z,CO 8-hour 1971,Parts per million,24.0,Y,0.595833,0.7,0.0,8.0,Bronx,New York,44201,40.8679,-73.87809,W,Ozone 8-Hour 1997,Parts per million,130.0,Y,0.019739166666666665,0.026,12.0,24.0,Bronx,New York,,,,,,,,,,,,,,,24.0
005,2013-01-27,42101,40.8679,-73.87809,Z,CO 8-hour 1971,Parts per million,24.0,Y,0.541667,0.7,21.0,8.0,Bronx,New York,44201,40.8679,-73.87809,W,Ozone 8-Hour 1997,Parts per million,130.0,Y,0.014444333333333332,0.024999999999999998,9.0,23.0,Bronx,New York,,,,,,,,,,,,,,,23.0
005,2013-01-28,42101,40.8679,-73.87809,Z,CO 8-hour 1971,Parts per million,24.0,Y,0.854167,1.0,11.0,11.0,Bronx,New York,44201,40.8679,-73.87809,W,Ozone 8-Hour 1997,Parts per million,130.0,Y,0.0013088333333333335,0.0030000000000000005,5.333333333333333,3.0,Bronx,New York,88101,40.816,-73.902,7,PM25 24-hour 2006,Micrograms/cubic meter (LC),16.0,Y,26.8,26.8,0.0,83.5,Bronx,New York,83.5
005,2013-01-29,42101,40.8679,-73.87809,Z,CO 8-hour 1971,Parts per million,24.0,Y,0.9625,1.1,9.0,13.0,Bronx,New York,44201,40.8679,-73.87809,W,Ozone 8-Hour 1997,Parts per million,112.0,Y,0.0012968333333333332,0.0035,7.5,3.5,Bronx,New York,,,,,,,,,,,,,,,13.0
005,2013-01-30,42101,40.8679,-73.87809,Z,CO 8-hour 1971,Parts per million,24.0,Y,0.65,0.9,0.0,10.0,Bronx,New York,44201,40.8679,-73.87809,W,Ozone 8-Hour 1997,Parts per million,130.0,Y,0.010803833333333332,0.0265,22.0,24.5,Bronx,New York,,,,,,,,,,,,,,,24.5
005,2013-01-31,42101,40.8679,-73.87809,Z,CO 8-hour 1971,Parts per million,24.0,Y,0.1875,0.4,0.0,5.0,Bronx,New York,44201,40.8679,-73.87809,W,Ozone 8-Hour 1997,Parts per million,130.0,Y,0.02253933333333333,0.0255,4.666666666666667,23.5,Bronx,New York,88101,40.816,-73.902,7,PM25 24-hour 2006,Micrograms/cubic meter (LC),16.0,Y,3.55,3.55,0.0,20.0,Bronx,New York,23.5
005,2013-02-01,42101,40.8679,-73.87809,Z,CO 8-hour 1971,Parts per million,24.0,Y,0.195833,0.3,19.0,3.0,Bronx,New York,44201,40.8679,-73.87809,W,Ozone 8-Hour 1997,Parts per million,130.0,Y,0.017672166666666666,0.021500000000000002,8.5,20.0,Bronx,New York,,,,,,,,,,,,,,,20.0
005,2013-02-02,42101,40.8679,-73.87809,Z,CO 8-hour 1971,Parts per million,24.0,Y,0.2625,0.3,0.0,3.0,Bronx,New York,44201,40.8679,-73.87809,W,Ozone 8-Hour 1997,Parts per million,130.0,Y,0.009504333333333333,0.0155,6.5,14.5,Bronx,New York,,,,,,,,,,,,,,,14.5
005,2013-02-03,42101,40.8679,-73.87809,Z,CO 8-hour 1971,Parts per million,24.0,Y,0.345833,0.4,1.0,5.0,Bronx,New York,44201,40.8679,-73.87809,W,Ozone 8-Hour 1997,Parts per million,130.0,Y,0.010232833333333333,0.016,15.5,15.0,Bronx,New York,88101,40.816,-73.902,7,PM25 24-hour 2006,Micrograms/cubic meter (LC),16.0,Y,21.05,21.05,0.0,73.0,Bronx,New York,73.0
005,2013-02-04,42101,40.8679,-73.87809,Z,CO 8-hour 1971,Parts per million,24.0,Y,0.308333,0.4,0.0,5.0,Bronx,New York,44201,40.8679,-73.87809,W,Ozone 8-Hour 1997,Parts per million,130.0,Y,0.01562,0.023000000000000003,9.0,21.0,Bronx,New York,,,,,,,,,,,,,,,21.0
005,2013-02-05,42101,40.8679,-73.87809,Z,CO 8-hour 1971,Parts per million,24.0,Y,0.4,0.5,8.0,6.0,Bronx,New York,44201,40.8679,-73.87809,W,Ozone 8-Hour 1997,Parts per million,130.0,Y,0.006416000000000001,0.011500000000000002,11.5,10.5,Bronx,New York,,,,,,,,,,,,,,,10.5
