date_local,parameter_code,sample_duration_code,sample_duration,observation_count,observation_percent,arithmetic_mean,aqi,parameter_code44201,sample_duration_code44201,sample_duration44201,observation_count44201,observation_percent44201,arithmetic_mean44201,aqi44201,parameter_code88101,sample_duration_code88101,sample_duration88101,observation_count88101,observation_percent88101,arithmetic_mean88101,aqi88101,aqi_max,latitude,longitude,validity_indicator,pollutant_standard,units_of_measure,city,latitude44201,longitude44201,validity_indicator44201,pollutant_standard44201,units_of_measure44201,city44201,latitude88101,longitude88101,validity_indicator88101,pollutant_standard88101,units_of_measure88101,city88101
2013-01-23,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.791667,10.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.01626966666666667,21.0,,,,,,,,21.0,,,,,,,,,,,,,,,,,,
2013-01-24,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.858333,10.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.019493666666666666,21.0,,,,,,,,21.0,,,,,,,,,,,,,,,,,,
2013-01-25,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.733333,11.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.007133666666666667,14.666666666666666,88101,7,24 HOUR,32.0,100.0,12.975,58.25,58.25,,,,,,,,,,,,,,,,,,
2013-01-26,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.233333,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.018636,22.0,,,,,,,,22.0,,,,,,,,,,,,,,,,,,
2013-01-27,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.191667,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.016416666666666666,23.0,,,,,,,,23.0,,,,,,,,,,,,,,,,,,
2013-01-28,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.225,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.0020603333333333333,4.333333333333333,88101,7,24 HOUR,32.0,100.0,25.875,82.25,82.25,,,,,,,,,,,,,,,,,,
2013-01-29,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.254167,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.0018026666666666666,4.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,
2013-01-30,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.204167,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.008491666666666666,24.0,,,,,,,,24.0,,,,,,,,,,,,,,,,,,
2013-01-31,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,-0.3,0.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.025699666666666666,25.0,88101,7,24 HOUR,24.0,100.0,4.966666666666666,27.666666666666668,27.666666666666668,,,,,,,,,,,,,,,,,,
2013-02-01,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.025,1.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.020325,23.0,,,,,,,,23.0,,,,,,,,,,,,,,,,,,
2013-02-02,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.166667,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.012695999999999999,16.0,,,,,,,,16.0,,,,,,,,,,,,,,,,,,
2013-02-03,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.179167,2.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.011593,15.0,88101,7,24 HOUR,32.0,100.0,20.35,72.0,72.0,,,,,,,,,,,,,,,,,,
2013-02-04,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.216667,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.016327,22.0,,,,,,,,22.0,,,,,,,,,,,,,,,,,,
2013-02-05,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.433333,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.004346666666666666,6.0,,,,,,,,6.0,,,,,,,,,,,,,,,,,,
2013-02-06,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.358333,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.018888666666666668,22.0,88101,7,24 HOUR,32.0,100.0,19.725,70.75,70.75,,,,,,,,,,,,,,,,,,
2013-02-07,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.3625,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.013697333333333332,18.0,,,,,,,,18.0,,,,,,,,,,,,,,,,,,
2013-02-08,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.370833,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.018874,19.0,,,,,,,,19.0,,,,,,,,,,,,,,,,,,
2013-02-09,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.341667,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.024173,26.0,88101,7,24 HOUR,32.0,100.0,5.425000000000001,30.0,30.0,,,,,,,,,,,,,,,,,,
2013-02-10,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.5,8.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.009222,19.0,,,,,,,,19.0,,,,,,,,,,,,,,,,,,
2013-02-11,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.779167,11.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.0034249999999999997,13.0,,,,,,,,13.0,,,,,,,,,,,,,,,,,,
2013-02-12,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.25,7.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.015160333333333333,21.0,88101,7,24 HOUR,16.0,100.0,11.35,55.5,55.5,,,,,,,,,,,,,,,,,,
