county_code,date_local,parameter_code,latitude,longitude,sample_duration_code,pollutant_standard,units_of_measure,observation_count,validity_indicator,arithmetic_mean,first_max_value,first_max_hour,aqi,county,city,parameter_code44201,latitude44201,longitude44201,sample_duration_code44201,pollutant_standard44201,units_of_measure44201,observation_count44201,validity_indicator44201,arithmetic_mean44201,first_max_value44201,first_max_hour44201,aqi44201,county44201,city44201,parameter_code88101,latitude88101,longitude88101,sample_duration_code88101,pollutant_standard88101,units_of_measure88101,observation_count88101,validity_indicator88101,arithmetic_mean88101,first_max_value88101,first_max_hour88101,aqi88101,county88101,city88101,aqi_max
047,2017-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88101,40.71961,-73.94771,7,PM25 24-hour 2006,Micrograms/cubic meter (LC),8,Y,6.6,6.6,0.0,37.0,Kings,New York,37.0
047,2017-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88101,40.71961,-73.94771,7,PM25 24-hour 2006,Micrograms/cubic meter (LC),8,Y,7.2,7.2,0.0,40.0,Kings,New York,40.0
047,2017-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88101,40.71961,-73.94771,7,PM25 24-hour 2006,Micrograms/cubic meter (LC),8,Y,7.3,7.3,0.0,41.0,Kings,New York,41.0
047,2017-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88101,40.71961,-73.94771,7,PM25 24-hour 2006,Micrograms/cubic meter (LC),8,Y,10.1,10.1,0.0,53.0,Kings,New York,53.0
047,2017-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88101,40.71961,-73.94771,7,PM25 24-hour 2006,Micrograms/cubic meter (LC),8,Y,6.4,6.4,0.0,36.0,Kings,New York,36.0
047,2017-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88101,40.71961,-73.94771,7,PM25 24-hour 2006,Micrograms/cubic meter (LC),8,Y,7.7,7.7,0.0,43.0,Kings,New York,43.0
047,2017-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88101,40.71961,-73.94771,7,PM25 24-hour 2006,Micrograms/cubic meter (LC),8,Y,8.3,8.3,0.0,46.0,Kings,New York,46.0
047,2017-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88101,40.71961,-73.94771,7,PM25 24-hour 2006,Micrograms/cubic meter (LC),8,Y,10.3,10.3,0.0,53.0,Kings,New York,53.0
047,2017-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88101,40.71961,-73.94771,7,PM25 24-hour 2006,Micrograms/cubic meter (LC),8,Y,5.4,5.4,0.0,30.0,Kings,New York,30.0
047,2017-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88101,40.71961,-73.94771,7,PM25 24-hour 2006,Micrograms/cubic meter (LC),8,Y,6.2,6.2,0.0,34.0,Kings,New York,34.0
